pairId,tenderA_id,tenderB_id,departmentA,departmentB,sameDepartment,categoryA,categoryB,categoryGroupA,categoryGroupB,categorySimilarity,categoryRelation,titleA,titleB,titleSimilarity,descriptionSimilarity,districtA,districtB,sameDistrict,latitudeA,longitudeA,latitudeB,longitudeB,distanceMeters,distanceKm,conflictRadiusMeters,yearA,yearB,generationStrategy,labelSource,conflictLabel
TN/FOREST/2024/13_TN/MAWS/2021/57,TN/FOREST/2024/13,TN/MAWS/2021/57,Forest Department,Municipal Administration and Water Supply Department,False,Catering Services,Drainage Construction,SERVICES,WATER,0.045,Unrelated,Improvement of Catering Services at Thanjavur Package B,Maintenance and Repair of Drainage Construction at Krishnagiri under Centrally Sponsored Scheme,0.333,0.072,Thanjavur,Krishnagiri,False,10.786355,79.211215,8.881885,79.172807,211809.2,211.809,5000,2024,2021,negative_unrelated_far,rule_based_synthetic,0
TN/AGRI/2021/160_TN/RDPR/2023/107,TN/AGRI/2021/160,TN/RDPR/2023/107,Agriculture Department,Rural Development and Panchayat Raj Department,False,Irrigation Canal Construction,Road Construction,AGRI,ROAD,0.079,Unrelated,Upgradation of Irrigation Canal Construction at Thoothukudi Zone 2,Providing Road Construction at Thoothukudi Phase I,0.586,0.855,Thoothukudi,Thoothukudi,True,8.742553,78.181677,8.731281,78.20865,3218.54,3.219,5000,2021,2023,hard_negative_close_unrelated,rule_based_synthetic,0
TN/AGRI/2026/140_TN/MSME/2024/38,TN/AGRI/2026/140,TN/MSME/2024/38,Agriculture Department,Micro Small and Medium Enterprises Department,False,Irrigation Canal Construction,Housekeeping and Cleaning Services,AGRI,SERVICES,0.103,Unrelated,Upgradation of Irrigation Canal Construction at Thanjavur,Improvement of Housekeeping and Cleaning Services at Thanjavur Phase II,0.469,0.108,Thanjavur,Thanjavur,True,10.853286,79.160817,10.869,79.18359,3039.36,3.039,5000,2026,2024,hard_negative_close_unrelated,rule_based_synthetic,0
TN/HWD/2024/87_TN/TANGEDCO/2022/296,TN/HWD/2024/87,TN/TANGEDCO/2022/296,Highways Department,Tamil Nadu Generation and Distribution Corporation,False,Flyover Construction,Transformer Installation,ROAD,POWER,0.521,Related,Development of Flyover Construction at Krishnagiri Stage 1,Supply and Commissioning of Transformer Installation at Ariyalur under State Plan,0.475,0.023,Krishnagiri,Ariyalur,False,12.576319,78.181152,12.286151,76.17986,219697.64,219.698,5000,2024,2022,hard_negative_related_far,rule_based_synthetic,0
TN/PWD/2024/125_TN/TANGEDCO/2021/270,TN/PWD/2024/125,TN/TANGEDCO/2021/270,Public Works Department,Tamil Nadu Generation and Distribution Corporation,False,Road Repair and Maintenance,Power Transmission Line Construction,ROAD,POWER,0.429,Related,Upgradation of Road Repair and Maintenance at Namakkal under State Plan,Supply and Commissioning of Power Transmission Line Construction at Dindigul Phase II,0.218,0.03,Namakkal,Dindigul,False,11.26226,78.147848,10.862379,77.406127,92351.89,92.352,5000,2024,2021,hard_negative_related_far,rule_based_synthetic,0
TN/SED/2022/23_TN/TANGEDCO/2024/88,TN/SED/2022/23,TN/TANGEDCO/2024/88,School Education Department,Tamil Nadu Generation and Distribution Corporation,False,Building Construction,Power Transmission Line Construction,BUILD,POWER,0.521,Related,Development of Building Construction at Cuddalore,Installation of Power Transmission Line Construction at Cuddalore Zone 2,0.595,0.743,Cuddalore,Cuddalore,True,11.711628,79.71871,11.701223,79.682938,4063.14,4.063,5000,2022,2024,positive_related_diff_category_close,rule_based_synthetic,1
TN/AGRI/2024/107_TN/PWD/2025/114,TN/PWD/2025/114,TN/AGRI/2024/107,Public Works Department,Agriculture Department,False,Flyover Construction,Farm Pond Construction,ROAD,AGRI,0.125,Unrelated,Improvement of Flyover Construction at Namakkal under Centrally Sponsored Scheme,Construction of Farm Pond Construction at Tiruchirappalli,0.438,0.033,Namakkal,Tiruchirappalli,False,11.168217,78.153673,13.037189,77.166148,233914.0,233.914,5000,2025,2024,negative_unrelated_far,rule_based_synthetic,0
TN/FOREST/2026/31_TN/WRD/2026/186,TN/WRD/2026/186,TN/FOREST/2026/31,Water Resources Department,Forest Department,False,Farm Pond Construction,Security Services,AGRI,SERVICES,0.132,Unrelated,Maintenance and Repair of Farm Pond Construction at Salem Package B,Providing Security Services at Madurai under Centrally Sponsored Scheme,0.232,0.016,Salem,Madurai,False,11.630049,78.227116,11.909535,77.889406,48137.89,48.138,5000,2026,2026,negative_unrelated_far,rule_based_synthetic,0
TN/SOCIALWELFARE/2022/11_TN/TOURISM/2024/6,TN/SOCIALWELFARE/2022/11,TN/TOURISM/2024/6,Social Welfare Department,Tourism Department,False,Catering Services,Catering Services,SERVICES,SERVICES,0.994,Related,Installation of Catering Services at Cuddalore under State Plan,Development of Catering Services at Cuddalore Package A,0.678,0.019,Cuddalore,Cuddalore,True,11.746115,79.87635,11.760287,79.872596,1627.98,1.628,5000,2022,2024,positive_same_category_close,rule_based_synthetic,1
TN/IT/2023/94_TN/TOURISM/2022/24,TN/TOURISM/2022/24,TN/IT/2023/94,Tourism Department,Information Technology Department,False,Catering Services,Software Development,SERVICES,IT,0.078,Unrelated,Upgradation of Catering Services at Sivaganga,Installation of Software Development at Sivaganga Zone 2,0.495,0.351,Sivaganga,Sivaganga,True,9.830479,78.516031,9.814664,78.491257,3234.23,3.234,5000,2022,2023,hard_negative_close_unrelated,rule_based_synthetic,0
TN/PWD/2024/55_TN/TANGEDCO/2024/96,TN/PWD/2024/55,TN/TANGEDCO/2024/96,Public Works Department,Tamil Nadu Generation and Distribution Corporation,False,Building Construction,Street Lighting Installation,BUILD,POWER,0.454,Related,Construction of Building Construction at Tirunelveli Zone 1,Installation of Street Lighting Installation at Tirunelveli,0.644,0.032,Tirunelveli,Tirunelveli,True,8.690111,77.796847,8.715452,77.787204,3010.54,3.011,5000,2024,2024,positive_related_diff_category_close,rule_based_synthetic,1
TN/SED/2024/25_TN/TANGEDCO/2024/128,TN/SED/2024/25,TN/TANGEDCO/2024/128,School Education Department,Tamil Nadu Generation and Distribution Corporation,False,Housing Scheme Construction,Street Lighting Installation,BUILD,POWER,0.538,Related,Maintenance and Repair of Housing Scheme Construction at Tiruchirappalli Stage 1,Installation of Street Lighting Installation at Tiruchirappalli under Centrally Sponsored Scheme,0.466,0.057,Tiruchirappalli,Tiruchirappalli,True,10.795262,78.793584,10.801104,78.76977,2681.0,2.681,5000,2024,2024,positive_related_diff_category_close,rule_based_synthetic,1
TN/SED/2025/12_TN/TANGEDCO/2022/81,TN/TANGEDCO/2022/81,TN/SED/2025/12,Tamil Nadu Generation and Distribution Corporation,School Education Department,False,Transformer Installation,Community Hall Construction,POWER,BUILD,0.446,Related,Construction of Transformer Installation at Madurai under State Plan,Providing Community Hall Construction at Madurai,0.397,0.795,Madurai,Madurai,True,9.965731,78.096082,9.985268,78.118748,3298.62,3.299,5000,2022,2025,positive_related_diff_category_close,rule_based_synthetic,1
TN/PWD/2025/9_TN/RDPR/2023/8,TN/PWD/2025/9,TN/RDPR/2023/8,Public Works Department,Rural Development and Panchayat Raj Department,False,Road Construction,Road Construction,ROAD,ROAD,0.985,Related,Installation of Road Construction at Krishnagiri Package A,Supply and Commissioning of Road Construction at Krishnagiri Zone 2,0.704,0.043,Krishnagiri,Krishnagiri,True,12.544749,78.271914,12.563755,78.286807,2660.67,2.661,5000,2025,2023,positive_same_category_close,rule_based_synthetic,1
TN/PWD/2022/64_TN/TANGEDCO/2026/118,TN/PWD/2022/64,TN/TANGEDCO/2026/118,Public Works Department,Tamil Nadu Generation and Distribution Corporation,False,School Building Construction,Electrical Substation Construction,BUILD,POWER,0.363,Related,Maintenance and Repair of School Building Construction at Karur Package B,Upgradation of Electrical Substation Construction at Karur Stage 1,0.576,0.096,Karur,Karur,True,10.854994,78.059277,10.842058,78.064739,1557.19,1.557,5000,2022,2026,positive_related_diff_category_close,rule_based_synthetic,1
TN/HEALTH/2022/16_TN/TANGEDCO/2024/71,TN/HEALTH/2022/16,TN/TANGEDCO/2024/71,Health and Family Welfare Department,Tamil Nadu Generation and Distribution Corporation,False,School Building Construction,Power Transmission Line Construction,BUILD,POWER,0.366,Related,Providing School Building Construction at Thoothukudi Package B,Improvement of Power Transmission Line Construction at Thoothukudi Zone 2,0.544,0.086,Thoothukudi,Thoothukudi,True,8.83327,78.069746,8.856027,78.101754,4332.57,4.333,5000,2022,2024,positive_related_diff_category_close,rule_based_synthetic,1
TN/FOREST/2026/35_TN/HED/2022/75,TN/HED/2022/75,TN/FOREST/2026/35,Higher Education Department,Forest Department,False,Web Portal Development,Housekeeping and Cleaning Services,IT,SERVICES,0.019,Unrelated,Upgradation of Web Portal Development at Madurai Stage 1,Construction of Housekeeping and Cleaning Services at Madurai under Centrally Sponsored Scheme,0.373,0.221,Madurai,Madurai,True,10.001221,78.18299,9.974958,78.194291,3171.72,3.172,5000,2022,2026,hard_negative_close_unrelated,rule_based_synthetic,0
TN/HEALTH/2024/44_TN/TWAD/2026/70,TN/TWAD/2026/70,TN/HEALTH/2024/44,Tamil Nadu Water Supply and Drainage Board,Health and Family Welfare Department,False,Drainage Construction,School Building Construction,WATER,BUILD,0.131,Unrelated,Supply and Commissioning of Drainage Construction at Cuddalore Zone 1,Maintenance and Repair of School Building Construction at Thanjavur under State Plan,0.471,0.6,Cuddalore,Thanjavur,False,11.748291,79.690386,11.065295,78.2482,174579.55,174.58,5000,2026,2024,negative_unrelated_far,rule_based_synthetic,0
TN/TANGEDCO/2023/369_TN/TOURISM/2022/31,TN/TOURISM/2022/31,TN/TANGEDCO/2023/369,Tourism Department,Tamil Nadu Generation and Distribution Corporation,False,Security Services,Power Transmission Line Construction,SERVICES,POWER,0.078,Unrelated,Providing Security Services at Vellore Phase II,Providing Power Transmission Line Construction at Vellore Package A,0.526,0.751,Vellore,Vellore,True,12.954424,79.171712,12.961979,79.142173,3309.34,3.309,5000,2022,2023,hard_negative_close_unrelated,rule_based_synthetic,0
TN/AGRI/2024/128_TN/TWAD/2024/112,TN/AGRI/2024/128,TN/TWAD/2024/112,Agriculture Department,Tamil Nadu Water Supply and Drainage Board,False,Irrigation Canal Construction,Sewerage Construction,AGRI,WATER,0.676,Related,Improvement of Irrigation Canal Construction at Sivaganga Package A,Construction of Sewerage Construction at Tiruchirappalli Phase I,0.489,0.087,Sivaganga,Tiruchirappalli,False,9.849649,78.528025,9.495351,78.425651,40963.16,40.963,5000,2024,2024,hard_negative_related_far,rule_based_synthetic,0
TN/HEALTH/2021/18_TN/TANGEDCO/2021/106,TN/TANGEDCO/2021/106,TN/HEALTH/2021/18,Tamil Nadu Generation and Distribution Corporation,Health and Family Welfare Department,False,Street Lighting Installation,Hospital Building Construction,POWER,BUILD,0.404,Related,Maintenance and Repair of Street Lighting Installation at Dindigul Phase II,Supply and Commissioning of Hospital Building Construction at Dindigul Phase I,0.575,0.079,Dindigul,Dindigul,True,10.28285,77.948596,10.302446,77.974854,3605.66,3.606,5000,2021,2021,positive_related_diff_category_close,rule_based_synthetic,1
TN/AGRI/2024/63_TN/HED/2024/22,TN/AGRI/2024/63,TN/HED/2024/22,Agriculture Department,Higher Education Department,False,Check Dam Construction,Software Development,AGRI,IT,0.064,Unrelated,Maintenance and Repair of Check Dam Construction at Chennai,Supply and Commissioning of Software Development at Thoothukudi Zone 2,0.341,0.1,Chennai,Thoothukudi,False,13.119662,80.34346,15.696619,80.420843,286665.69,286.666,5000,2024,2024,negative_unrelated_far,rule_based_synthetic,0
TN/IT/2024/81_TN/PWD/2023/124,TN/PWD/2023/124,TN/IT/2024/81,Public Works Department,Information Technology Department,False,Bridge Construction,IT Infrastructure Services,ROAD,IT,0.019,Unrelated,Providing Bridge Construction at Karur Package A,Upgradation of IT Infrastructure Services at Coimbatore Package A,0.478,0.023,Karur,Coimbatore,False,10.961975,78.012806,11.068104,79.434726,155645.28,155.645,5000,2023,2024,negative_unrelated_far,rule_based_synthetic,0
TN/AGRI/2023/65_TN/HOUSING/2025/31,TN/HOUSING/2025/31,TN/AGRI/2023/65,Housing and Urban Development Department,Agriculture Department,False,Housing Scheme Construction,Farm Pond Construction,BUILD,AGRI,0.059,Unrelated,Supply and Commissioning of Housing Scheme Construction at Chennai Stage 1,Upgradation of Farm Pond Construction at Thoothukudi under Centrally Sponsored Scheme,0.415,0.377,Chennai,Thoothukudi,False,13.056622,80.25967,10.349149,80.059504,301844.97,301.845,5000,2025,2023,negative_unrelated_far,rule_based_synthetic,0
TN/PWD/2026/28_TN/TANGEDCO/2023/69,TN/TANGEDCO/2023/69,TN/PWD/2026/28,Tamil Nadu Generation and Distribution Corporation,Public Works Department,False,Power Transmission Line Construction,Highway Development,POWER,ROAD,0.554,Related,Maintenance and Repair of Power Transmission Line Construction at Virudhunagar,Development of Highway Development at Virudhunagar,0.406,0.085,Virudhunagar,Virudhunagar,True,9.55412,77.856709,9.578707,77.875921,3451.39,3.451,5000,2023,2026,positive_related_diff_category_close,rule_based_synthetic,1
TN/INDUSTRIES/2022/10_TN/PWD/2026/69,TN/PWD/2026/69,TN/INDUSTRIES/2022/10,Public Works Department,Industries Department,False,Hospital Building Construction,Survey and Documentation Services,BUILD,SERVICES,0.176,Unrelated,Improvement of Hospital Building Construction at Salem Phase I,Installation of Survey and Documentation Services at Ariyalur Package A,0.331,0.289,Salem,Ariyalur,False,11.619066,78.067404,12.404821,77.351953,116998.09,116.998,5000,2026,2022,negative_unrelated_far,rule_based_synthetic,0
TN/AGRI/2026/66_TN/HOUSING/2025/37,TN/AGRI/2026/66,TN/HOUSING/2025/37,Agriculture Department,Housing and Urban Development Department,False,Farm Pond Construction,Housing Scheme Construction,AGRI,BUILD,0.111,Unrelated,Installation of Farm Pond Construction at Dindigul Stage 1,Upgradation of Housing Scheme Construction at Nagapattinam Stage 1,0.613,0.826,Dindigul,Nagapattinam,False,10.399321,77.87367,9.737548,77.666747,76994.07,76.994,5000,2026,2025,negative_unrelated_far,rule_based_synthetic,0
TN/HED/2025/66_TN/WRD/2022/156,TN/WRD/2022/156,TN/HED/2025/66,Water Resources Department,Higher Education Department,False,Irrigation Canal Construction,IT Infrastructure Services,AGRI,IT,0.035,Unrelated,Supply and Commissioning of Irrigation Canal Construction at Kanyakumari Zone 1,Upgradation of IT Infrastructure Services at Erode,0.372,0.269,Kanyakumari,Erode,False,8.165439,77.58596,8.793845,77.975201,81945.96,81.946,5000,2022,2025,negative_unrelated_far,rule_based_synthetic,0
TN/PWD/2025/53_TN/TANGEDCO/2023/110,TN/PWD/2025/53,TN/TANGEDCO/2023/110,Public Works Department,Tamil Nadu Generation and Distribution Corporation,False,School Building Construction,Street Lighting Installation,BUILD,POWER,0.454,Related,Supply and Commissioning of School Building Construction at Krishnagiri under Centrally Sponsored Scheme,Installation of Street Lighting Installation at Krishnagiri under State Plan,0.511,0.03,Krishnagiri,Krishnagiri,True,12.526544,78.221122,12.545585,78.214543,2234.45,2.234,5000,2025,2023,positive_related_diff_category_close,rule_based_synthetic,1
TN/MSME/2022/41_TN/WRD/2024/247,TN/WRD/2024/247,TN/MSME/2022/41,Water Resources Department,Micro Small and Medium Enterprises Department,False,Irrigation Canal Construction,Catering Services,AGRI,SERVICES,0.041,Unrelated,Supply and Commissioning of Irrigation Canal Construction at Erode Phase II,Development of Catering Services at Erode,0.345,0.775,Erode,Erode,True,11.391975,77.79455,11.365647,77.790302,2963.94,2.964,5000,2024,2022,hard_negative_close_unrelated,rule_based_synthetic,0
TN/IT/2026/32_TN/TANGEDCO/2024/185,TN/TANGEDCO/2024/185,TN/IT/2026/32,Tamil Nadu Generation and Distribution Corporation,Information Technology Department,False,Transformer Installation,IT Infrastructure Services,POWER,IT,0.009,Unrelated,Maintenance and Repair of Transformer Installation at Sivaganga Package A,Supply and Commissioning of IT Infrastructure Services at Tiruchirappalli Package B,0.436,0.071,Sivaganga,Tiruchirappalli,False,9.818769,78.388285,10.798483,78.179529,111307.28,111.307,5000,2024,2026,negative_unrelated_far,rule_based_synthetic,0
TN/HED/2024/42_TN/HWD/2022/53,TN/HED/2024/42,TN/HWD/2022/53,Higher Education Department,Highways Department,False,Software Development,Highway Development,IT,ROAD,0.014,Unrelated,Development of Software Development at Nagapattinam Package B,Development of Highway Development at Salem Zone 1,0.685,0.043,Nagapattinam,Salem,False,10.803316,79.915191,11.402051,79.210856,101679.25,101.679,5000,2024,2022,negative_unrelated_far,rule_based_synthetic,0
TN/AGRI/2026/98_TN/HWD/2021/77,TN/HWD/2021/77,TN/AGRI/2026/98,Highways Department,Agriculture Department,False,Sewerage Construction,Irrigation Canal Construction,WATER,AGRI,0.523,Related,Improvement of Sewerage Construction at Ariyalur Package B,Installation of Irrigation Canal Construction at Coimbatore Package B,0.583,0.033,Ariyalur,Coimbatore,False,11.149002,79.095734,13.13543,77.687571,268734.68,268.735,5000,2021,2026,hard_negative_related_far,rule_based_synthetic,0
TN/IT/2021/16_TN/IT/2025/15,TN/IT/2025/15,TN/IT/2021/16,Information Technology Department,Information Technology Department,True,Networking and Data Center Setup,Networking and Data Center Setup,IT,IT,0.935,Related,Installation of Networking and Data Center Setup at Ariyalur Zone 1,Maintenance and Repair of Networking and Data Center Setup at Ariyalur Package A,0.762,1.0,Ariyalur,Ariyalur,True,11.210988,79.150131,11.220316,79.174672,2870.66,2.871,5000,2025,2021,positive_same_category_close,rule_based_synthetic,1
TN/HED/2026/47_TN/PWD/2022/90,TN/PWD/2022/90,TN/HED/2026/47,Public Works Department,Higher Education Department,False,Building Construction,Bridge Construction,BUILD,ROAD,0.06,Unrelated,Supply and Commissioning of Building Construction at Tiruchirappalli Stage 1,Installation of Bridge Construction at Madurai Zone 2,0.574,0.889,Tiruchirappalli,Madurai,False,10.787639,78.614033,9.856274,77.060844,198983.79,198.984,5000,2022,2026,negative_unrelated_far,rule_based_synthetic,0
TN/SED/2022/55_TN/WRD/2021/181,TN/SED/2022/55,TN/WRD/2021/181,School Education Department,Water Resources Department,False,Hospital Building Construction,Water Pipeline Construction,BUILD,WATER,0.125,Unrelated,Upgradation of Hospital Building Construction at Tiruchirappalli Phase II,Improvement of Water Pipeline Construction at Chennai Package A,0.529,0.84,Tiruchirappalli,Chennai,False,10.823179,78.775009,12.068326,80.180441,206468.37,206.468,5000,2022,2021,negative_unrelated_far,rule_based_synthetic,0
TN/MAWS/2024/59_TN/MSME/2024/11,TN/MAWS/2024/59,TN/MSME/2024/11,Municipal Administration and Water Supply Department,Micro Small and Medium Enterprises Department,False,Sewerage Construction,Catering Services,WATER,SERVICES,0.096,Unrelated,Installation of Sewerage Construction at Namakkal Zone 2,Improvement of Catering Services at Cuddalore Zone 2,0.444,0.03,Namakkal,Cuddalore,False,11.254179,78.130947,10.287672,81.162349,348135.79,348.136,5000,2024,2024,negative_unrelated_far,rule_based_synthetic,0
TN/AGRI/2022/14_TN/WRD/2021/33,TN/AGRI/2022/14,TN/WRD/2021/33,Agriculture Department,Water Resources Department,False,Check Dam Construction,Check Dam Construction,AGRI,AGRI,0.964,Related,Maintenance and Repair of Check Dam Construction at Krishnagiri Zone 2,Maintenance and Repair of Check Dam Construction at Krishnagiri Phase II,0.93,0.226,Krishnagiri,Krishnagiri,True,12.42931,78.254051,12.417005,78.292548,4398.66,4.399,5000,2022,2021,positive_same_category_close,rule_based_synthetic,1
TN/AGRI/2022/69_TN/TANGEDCO/2022/186,TN/AGRI/2022/69,TN/TANGEDCO/2022/186,Agriculture Department,Tamil Nadu Generation and Distribution Corporation,False,Agricultural Godown Construction,Electrical Substation Construction,AGRI,POWER,0.059,Unrelated,Installation of Agricultural Godown Construction at Namakkal under Centrally Sponsored Scheme,Supply and Commissioning of Electrical Substation Construction at Salem,0.354,0.558,Namakkal,Salem,False,11.149861,78.197286,10.313275,76.12576,244684.62,244.685,5000,2022,2022,negative_unrelated_far,rule_based_synthetic,0
TN/HOUSING/2021/30_TN/TWAD/2025/44,TN/HOUSING/2021/30,TN/TWAD/2025/44,Housing and Urban Development Department,Tamil Nadu Water Supply and Drainage Board,False,School Building Construction,Canal Lining Work,BUILD,WATER,0.192,Unrelated,Supply and Commissioning of School Building Construction at Kanyakumari Phase I,Supply and Commissioning of Canal Lining Work at Virudhunagar under Centrally Sponsored Scheme,0.543,0.541,Kanyakumari,Virudhunagar,False,8.114759,77.623286,8.062477,77.821271,22557.89,22.558,5000,2021,2025,negative_unrelated_far,rule_based_synthetic,0
TN/HOUSING/2023/54_TN/TANGEDCO/2026/197,TN/TANGEDCO/2026/197,TN/HOUSING/2023/54,Tamil Nadu Generation and Distribution Corporation,Housing and Urban Development Department,False,Street Lighting Installation,Hospital Building Construction,POWER,BUILD,0.526,Related,Improvement of Street Lighting Installation at Chennai under Centrally Sponsored Scheme,Installation of Hospital Building Construction at Tirunelveli Zone 2,0.297,0.669,Chennai,Tirunelveli,False,13.085177,80.160597,14.47457,77.876083,291088.53,291.089,5000,2026,2023,hard_negative_related_far,rule_based_synthetic,0
TN/MAWS/2026/70_TN/SOCIALWELFARE/2026/22,TN/SOCIALWELFARE/2026/22,TN/MAWS/2026/70,Social Welfare Department,Municipal Administration and Water Supply Department,False,Consultancy Services,Water Treatment Plant Construction,SERVICES,WATER,0.081,Unrelated,Construction of Consultancy Services at Thoothukudi under Centrally Sponsored Scheme,Upgradation of Water Treatment Plant Construction at Nagapattinam Phase I,0.229,0.013,Thoothukudi,Nagapattinam,False,8.686631,78.181208,8.745898,80.597649,265674.07,265.674,5000,2026,2026,negative_unrelated_far,rule_based_synthetic,0
TN/HOUSING/2026/62_TN/TANGEDCO/2024/318,TN/HOUSING/2026/62,TN/TANGEDCO/2024/318,Housing and Urban Development Department,Tamil Nadu Generation and Distribution Corporation,False,Community Hall Construction,Transformer Installation,BUILD,POWER,0.468,Related,Improvement of Community Hall Construction at Vellore Phase II,Construction of Transformer Installation at Nagapattinam under State Plan,0.326,0.062,Vellore,Nagapattinam,False,12.904074,79.173552,13.31019,79.009224,48538.22,48.538,5000,2026,2024,hard_negative_related_far,rule_based_synthetic,0
TN/IT/2023/100_TN/WRD/2026/280,TN/WRD/2026/280,TN/IT/2023/100,Water Resources Department,Information Technology Department,False,Sewerage Construction,Web Portal Development,WATER,IT,0.04,Unrelated,Supply and Commissioning of Sewerage Construction at Virudhunagar Zone 2,Construction of Web Portal Development at Virudhunagar,0.444,0.739,Virudhunagar,Virudhunagar,True,9.568587,78.012246,9.558439,78.027617,2028.29,2.028,5000,2026,2023,hard_negative_close_unrelated,rule_based_synthetic,0
